Method                dataset         nl              ei1         ei2          fp         fn          rf        
Astral                1000            26              23          23           7          7           0.30434782608695654
Astral                1000            26              23          23           2          2           0.08695652173913043
Astral                1000            26              23          23           5          5           0.21739130434782608
Astral                1000            26              23          23           7          7           0.30434782608695654
Astral                1000            26              23          23           9          9           0.391304347826087
svd                   1000            26              23          23           8          8           0.34782608695652173
svd                   1000            26              23          23           4          4           0.17391304347826086
svd                   1000            26              23          23           6          6           0.2608695652173913
svd                   1000            26              23          23           2          2           0.08695652173913043
svd                   1000            26              23          23           9          9           0.391304347826087
out_final             1000            26              23          23           7          7           0.30434782608695654
out_final             1000            26              23          23           2          2           0.08695652173913043
out_final             1000            26              23          23           5          5           0.21739130434782608
out_final             1000            26              23          23           7          7           0.30434782608695654
out_final             1000            26              23          23           9          9           0.391304347826087
Astral                100             26              23          23           16         16          0.6956521739130435
Astral                100             26              23          23           18         18          0.782608695652174
Astral                100             26              23          23           13         13          0.5652173913043478
Astral                100             26              23          23           10         10          0.43478260869565216
Astral                100             26              23          23           15         15          0.6521739130434783
svd                   100             26              23          23           11         11          0.4782608695652174
svd                   100             26              23          23           6          6           0.2608695652173913
svd                   100             26              23          23           13         13          0.5652173913043478
svd                   100             26              23          23           9          9           0.391304347826087
svd                   100             26              23          23           17         17          0.7391304347826086
out_final             100             26              23          23           16         16          0.6956521739130435
out_final             100             26              23          23           18         18          0.782608695652174
out_final             100             26              23          23           13         13          0.5652173913043478
out_final             100             26              23          23           10         10          0.43478260869565216
out_final             100             26              23          23           15         15          0.6521739130434783
Astral                500             26              23          23           8          8           0.34782608695652173
Astral                500             26              23          23           4          4           0.17391304347826086
Astral                500             26              23          23           5          5           0.21739130434782608
Astral                500             26              23          23           9          9           0.391304347826087
Astral                500             7               4           4            3          3           0.75      
svd                   500             26              23          23           8          8           0.34782608695652173
svd                   500             26              23          23           5          5           0.21739130434782608
svd                   500             26              23          23           6          6           0.2608695652173913
svd                   500             26              23          23           3          3           0.13043478260869565
svd                   500             26              23          23           11         11          0.4782608695652174
out_final             500             26              23          23           8          8           0.34782608695652173
out_final             500             26              22          23           14         13          0.6       
out_final             500             26              23          23           4          4           0.17391304347826086
out_final             500             26              23          23           5          5           0.21739130434782608
out_final             500             26              23          23           9          9           0.391304347826087
out_final             500             7               4           4            3          3           0.75      
Astral                50              26              23          23           16         16          0.6956521739130435
Astral                50              26              23          23           17         17          0.7391304347826086
Astral                50              5               2           2            2          2           1.0       
Astral                50              5               2           2            2          2           1.0       
Astral                50              7               4           4            3          3           0.75      
svd                   50              26              23          23           12         12          0.5217391304347826
svd                   50              26              23          23           11         11          0.4782608695652174
svd                   50              26              23          23           14         14          0.6086956521739131
svd                   50              26              23          23           15         15          0.6521739130434783
svd                   50              26              23          23           17         17          0.7391304347826086
out_final             50              26              22          23           16         15          0.6888888888888889
out_final             50              26              23          23           17         17          0.7391304347826086
out_final             50              5               2           2            2          2           1.0       
out_final             50              5               2           2            2          2           1.0       
out_final             50              7               3           4            4          3           1.0       
Astral                250             26              23          23           11         11          0.4782608695652174
Astral                250             26              23          23           9          9           0.391304347826087
Astral                250             26              23          23           12         12          0.5217391304347826
Astral                250             26              23          23           8          8           0.34782608695652173
Astral                250             7               4           4            4          4           1.0       
svd                   250             26              23          23           7          7           0.30434782608695654
svd                   250             26              23          23           6          6           0.2608695652173913
svd                   250             26              23          23           6          6           0.2608695652173913
svd                   250             26              23          23           5          5           0.21739130434782608
svd                   250             26              23          23           11         11          0.4782608695652174
out_final             250             26              23          23           11         11          0.4782608695652174
out_final             250             26              23          23           9          9           0.391304347826087
out_final             250             26              23          23           12         12          0.5217391304347826
out_final             250             26              22          23           8          7           0.3333333333333333
out_final             250             7               4           4            4          4           1.0       
