Method	dataset		nl	ei1	ei2	fp	fn	rf
Astral	1000		26	23	23	7	7	0.304347826
Astral	1000		26	23	23	2	2	0.086956522
Astral	1000		26	23	23	5	5	0.217391304
Astral	1000		26	23	23	7	7	0.304347826
Astral	1000		26	23	23	9	9	0.391304348
svd	1000		26	23	23	8	8	0.347826087
svd	1000		26	23	23	4	4	0.173913043
svd	1000		26	23	23	6	6	0.260869565
svd	1000		26	23	23	2	2	0.086956522
svd	1000		26	23	23	9	9	0.391304348
out_final	1000	_35	26	23	23	7	7	0.304347826
out_final	1000	_35	26	18	23	6	1	0.170731707
out_final	1000	_35	26	22	23	5	4	0.2
out_final	1000	_35	26	21	23	8	6	0.318181818
out_final	1000	_35	26	20	23	9	6	0.348837209
Astral	100		26	23	23	16	16	0.695652174
Astral	100		26	23	23	18	18	0.782608696
Astral	100		26	23	23	13	13	0.565217391
Astral	100		26	23	23	10	10	0.434782609
Astral	100		26	23	23	15	15	0.652173913
svd	100		26	23	23	11	11	0.47826087
svd	100		26	23	23	6	6	0.260869565
svd	100		26	23	23	13	13	0.565217391
svd	100		26	23	23	9	9	0.391304348
svd	100		26	23	23	17	17	0.739130435
out_final	100	_35	26	20	23	16	13	0.674418605
out_final	100	_35	26	23	23	18	18	0.782608696
out_final	100	_35	26	22	23	13	12	0.555555556
out_final	100	_35	26	19	23	12	8	0.476190476
out_final	100	_35	26	22	23	15	14	0.644444444
Astral	500		26	23	23	8	8	0.347826087
Astral	500		26	23	23	4	4	0.173913043
Astral	500		26	23	23	5	5	0.217391304
Astral	500		26	23	23	9	9	0.391304348
Astral	500		7	4	4	3	3	0.75
svd	500		26	23	23	8	8	0.347826087
svd	500		26	23	23	5	5	0.217391304
svd	500		26	23	23	6	6	0.260869565
svd	500		26	23	23	3	3	0.130434783
svd	500		26	23	23	11	11	0.47826087
out_final	500	_35	26	21	23	8	6	0.318181818
out_final	500	_35	26	21	23	14	12	0.590909091
out_final	500	_35	26	21	23	5	3	0.181818182
out_final	500	_35	26	22	23	5	4	0.2
out_final	500	_35	26	20	23	9	6	0.348837209
out_final	500	_35	7	4	4	3	3	0.75
Astral	50		26	23	23	16	16	0.695652174
Astral	50		26	23	23	17	17	0.739130435
Astral	50		5	2	2	2	2	1
Astral	50		5	2	2	2	2	1
Astral	50		7	4	4	3	3	0.75
svd	50		26	23	23	12	12	0.52173913
svd	50		26	23	23	11	11	0.47826087
svd	50		26	23	23	14	14	0.608695652
svd	50		26	23	23	15	15	0.652173913
svd	50		26	23	23	17	17	0.739130435
out_final	50	_35	26	18	23	17	12	0.707317073
out_final	50	_35	26	20	23	17	14	0.720930233
out_final	50	_35	5	2	2	2	2	1
out_final	50	_35	5	2	2	2	2	1
out_final	50	_35	7	3	4	4	3	1
Astral	250		26	23	23	11	11	0.47826087
Astral	250		26	23	23	9	9	0.391304348
Astral	250		26	23	23	12	12	0.52173913
Astral	250		26	23	23	8	8	0.347826087
Astral	250		7	4	4	4	4	1
svd	250		26	23	23	7	7	0.304347826
svd	250		26	23	23	6	6	0.260869565
svd	250		26	23	23	6	6	0.260869565
svd	250		26	23	23	5	5	0.217391304
svd	250		26	23	23	11	11	0.47826087
out_final	250	_35	26	21	23	12	10	0.5
out_final	250	_35	26	20	23	9	6	0.348837209
out_final	250	_35	26	20	23	12	9	0.488372093
out_final	250	_35	26	19	23	8	4	0.285714286
out_final	250	_35	7	4	4	4	4	1
