Method	dataset	nl	ei1	ei2	fp	fn	data	rf
Astral	1000	26	23	23	23	23	Astral1000	1
Astral	1000	26	23	23	6	6	Astral1000	0.260869565
Astral	1000	26	23	23	13	13	Astral1000	0.565217391
Astral	1000	26	23	23	4	4	Astral1000	0.173913043
Astral	1000	26	23	23	4	4	Astral1000	0.173913043
Astral	1000	26	23	23	7	7	Astral1000	0.304347826
Astral	1000	26	23	23	23	23	Astral1000	1
Astral	1000	26	23	23	6	6	Astral1000	0.260869565
svd	1000	26	23	23	13	13	svd1000	0.565217391
svd	1000	26	23	23	9	9	svd1000	0.391304348
svd	1000	26	23	23	4	4	svd1000	0.173913043
svd	1000	26	23	23	6	6	svd1000	0.260869565
svd	1000	26	23	23	4	4	svd1000	0.173913043
svd	1000	26	23	23	4	4	svd1000	0.173913043
svd	1000	26	23	23	14	14	svd1000	0.608695652
svd	1000	26	23	23	6	6	svd1000	0.260869565
out_final	1000	26	21	23	23	21	out_final1000	1
out_final	1000	26	22	23	7	6	out_final1000	0.288888889
out_final	1000	26	19	23	13	9	out_final1000	0.523809524
out_final	1000	26	17	23	8	2	out_final1000	0.25
out_final	1000	26	22	23	4	3	out_final1000	0.155555556
out_final	1000	26	21	23	7	5	out_final1000	0.272727273
out_final	1000	26	22	23	23	22	out_final1000	1
out_final	1000	26	21	23	6	4	out_final1000	0.227272727
Astral	100	26	23	23	22	22	Astral100	0.956521739
Astral	100	26	23	23	10	10	Astral100	0.434782609
Astral	100	26	23	23	16	16	Astral100	0.695652174
Astral	100	26	23	23	5	5	Astral100	0.217391304
Astral	100	26	23	23	12	12	Astral100	0.52173913
Astral	100	26	23	23	14	14	Astral100	0.608695652
Astral	100	26	23	23	23	23	Astral100	1
Astral	100	26	23	23	14	14	Astral100	0.608695652
svd	100	26	18	23	19	14	svd100	0.804878049
svd	100	26	23	23	11	11	svd100	0.47826087
svd	100	26	23	23	12	12	svd100	0.52173913
svd	100	26	23	23	6	6	svd100	0.260869565
svd	100	26	23	23	14	14	svd100	0.608695652
svd	100	26	23	23	12	12	svd100	0.52173913
svd	100	26	14	23	20	11	svd100	0.837837838
svd	100	26	23	23	18	18	svd100	0.782608696
out_final	100	26	22	23	23	22	out_final100	1
out_final	100	26	18	23	11	6	out_final100	0.414634146
out_final	100	26	21	23	16	14	out_final100	0.681818182
out_final	100	26	21	23	5	3	out_final100	0.181818182
out_final	100	26	21	23	12	10	out_final100	0.5
out_final	100	25	19	22	14	11	out_final100	0.609756098
out_final	100	26	22	23	23	22	out_final100	1
out_final	100	26	20	23	15	12	out_final100	0.627906977
