Method	dataset	nl	ei1	ei2	fp	fn	data	rf
Astral	1000	26	23	23	23	23	Astral1000	1
Astral	1000	26	23	23	6	6	Astral1000	0.260869565
Astral	1000	26	23	23	13	13	Astral1000	0.565217391
Astral	1000	26	23	23	4	4	Astral1000	0.173913043
Astral	1000	26	23	23	4	4	Astral1000	0.173913043
Astral	1000	26	23	23	7	7	Astral1000	0.304347826
Astral	1000	26	23	23	23	23	Astral1000	1
Astral	1000	26	23	23	6	6	Astral1000	0.260869565
svd	1000	26	23	23	13	13	svd1000	0.565217391
svd	1000	26	23	23	9	9	svd1000	0.391304348
svd	1000	26	23	23	4	4	svd1000	0.173913043
svd	1000	26	23	23	6	6	svd1000	0.260869565
svd	1000	26	23	23	4	4	svd1000	0.173913043
svd	1000	26	23	23	4	4	svd1000	0.173913043
svd	1000	26	23	23	14	14	svd1000	0.608695652
svd	1000	26	23	23	6	6	svd1000	0.260869565
out_final	1000	26	21	23	23	21	out_final1000	1
out_final	1000	26	22	23	7	6	out_final1000	0.288888889
out_final	1000	26	19	23	13	9	out_final1000	0.523809524
out_final	1000	26	17	23	8	2	out_final1000	0.25
out_final	1000	26	22	23	4	3	out_final1000	0.155555556
out_final	1000	26	21	23	7	5	out_final1000	0.272727273
out_final	1000	26	22	23	23	22	out_final1000	1
out_final	1000	26	21	23	6	4	out_final1000	0.227272727
Astral	1000	26	23	23	6	6	Astral1000	0.260869565
Astral	1000	26	23	23	23	23	Astral1000	1
Astral	1000	26	23	23	6	6	Astral1000	0.260869565
Astral	1000	26	23	23	1	1	Astral1000	0.043478261
Astral	1000	26	23	23	2	2	Astral1000	0.086956522
Astral	1000	26	23	23	6	6	Astral1000	0.260869565
Astral	1000	26	23	23	2	2	Astral1000	0.086956522
Astral	1000	26	23	23	7	7	Astral1000	0.304347826
Astral	1000	26	23	23	23	23	Astral1000	1
svd	1000	26	23	23	3	3	svd1000	0.130434783
svd	1000	26	23	23	13	13	svd1000	0.565217391
svd	1000	26	23	23	9	9	svd1000	0.391304348
svd	1000	26	23	23	5	5	svd1000	0.217391304
svd	1000	26	23	23	4	4	svd1000	0.173913043
svd	1000	26	23	23	6	6	svd1000	0.260869565
svd	1000	26	23	23	3	3	svd1000	0.130434783
svd	1000	26	23	23	4	4	svd1000	0.173913043
svd	1000	26	23	23	14	14	svd1000	0.608695652
out_final	1000	26	21	23	6	4	out_final1000	0.227272727
out_final	1000	26	21	23	23	21	out_final1000	1
out_final	1000	26	22	23	7	6	out_final1000	0.288888889
out_final	1000	26	20	23	3	0	out_final1000	0.069767442
out_final	1000	26	21	23	3	1	out_final1000	0.090909091
out_final	1000	26	20	23	7	4	out_final1000	0.255813953
out_final	1000	26	20	23	3	0	out_final1000	0.069767442
out_final	1000	26	21	23	7	5	out_final1000	0.272727273
out_final	1000	26	22	23	23	22	out_final1000	1
Astral	500	26	23	23	23	23	Astral500	1
Astral	500	26	23	23	6	6	Astral500	0.260869565
Astral	500	26	23	23	13	13	Astral500	0.565217391
Astral	500	26	23	23	5	5	Astral500	0.217391304
Astral	500	26	23	23	4	4	Astral500	0.173913043
Astral	500	26	23	23	7	7	Astral500	0.304347826
Astral	500	26	23	23	23	23	Astral500	1
Astral	500	26	23	23	8	8	Astral500	0.347826087
svd	500	26	23	23	14	14	svd500	0.608695652
svd	500	26	23	23	7	7	svd500	0.304347826
svd	500	26	23	23	4	4	svd500	0.173913043
svd	500	26	23	23	6	6	svd500	0.260869565
svd	500	26	23	23	4	4	svd500	0.173913043
svd	500	26	23	23	4	4	svd500	0.173913043
svd	500	26	23	23	13	13	svd500	0.565217391
svd	500	26	23	23	10	10	svd500	0.434782609
out_final	500	26	20	23	23	20	out_final500	1
out_final	500	26	21	23	6	4	out_final500	0.227272727
out_final	500	26	20	23	13	10	out_final500	0.534883721
out_final	500	26	21	23	5	3	out_final500	0.181818182
out_final	500	26	21	23	5	3	out_final500	0.181818182
out_final	500	26	21	23	7	5	out_final500	0.272727273
out_final	500	26	21	23	23	21	out_final500	1
out_final	500	26	20	23	8	5	out_final500	0.302325581
Astral	500	26	23	23	4	4	Astral500	0.173913043
Astral	500	26	23	23	23	23	Astral500	1
Astral	500	26	23	23	6	6	Astral500	0.260869565
Astral	500	26	23	23	2	2	Astral500	0.086956522
Astral	500	26	23	23	2	2	Astral500	0.086956522
Astral	500	26	23	23	7	7	Astral500	0.304347826
Astral	500	26	23	23	2	2	Astral500	0.086956522
Astral	500	26	23	23	7	7	Astral500	0.304347826
Astral	500	26	23	23	23	23	Astral500	1
svd	500	26	23	23	7	7	svd500	0.304347826
svd	500	26	23	23	14	14	svd500	0.608695652
svd	500	26	23	23	7	7	svd500	0.304347826
svd	500	26	23	23	6	6	svd500	0.260869565
svd	500	26	23	23	4	4	svd500	0.173913043
svd	500	26	23	23	7	7	svd500	0.304347826
svd	500	26	23	23	4	4	svd500	0.173913043
svd	500	26	23	23	4	4	svd500	0.173913043
svd	500	26	23	23	13	13	svd500	0.565217391
out_final	500	26	22	23	5	4	out_final500	0.2
out_final	500	26	20	23	23	20	out_final500	1
out_final	500	26	21	23	6	4	out_final500	0.227272727
out_final	500	26	22	23	3	2	out_final500	0.111111111
out_final	500	26	21	23	2	0	out_final500	0.045454545
out_final	500	26	20	23	7	4	out_final500	0.255813953
out_final	500	26	20	23	3	0	out_final500	0.069767442
out_final	500	26	21	23	7	5	out_final500	0.272727273
out_final	500	26	21	23	23	21	out_final500	1
