Method	dataset	nl	ei1	ei2	fp	fn	merge	rf
Astral	1000	26	23	23	23	23	Astral1000	1
Astral	1000	26	23	23	6	6	Astral1000	0.260869565
Astral	1000	26	23	23	13	13	Astral1000	0.565217391
Astral	1000	26	23	23	4	4	Astral1000	0.173913043
Astral	1000	26	23	23	4	4	Astral1000	0.173913043
Astral	1000	26	23	23	7	7	Astral1000	0.304347826
Astral	1000	26	23	23	23	23	Astral1000	1
Astral	1000	26	23	23	6	6	Astral1000	0.260869565
svd	1000	26	23	23	13	13	svd1000	0.565217391
svd	1000	26	23	23	9	9	svd1000	0.391304348
svd	1000	26	23	23	4	4	svd1000	0.173913043
svd	1000	26	23	23	6	6	svd1000	0.260869565
svd	1000	26	23	23	4	4	svd1000	0.173913043
svd	1000	26	23	23	4	4	svd1000	0.173913043
svd	1000	26	23	23	14	14	svd1000	0.608695652
svd	1000	26	23	23	6	6	svd1000	0.260869565
out_final	1000	26	19	23	15	11	out_final1000	0.619047619
out_final	1000	26	20	23	4	1	out_final1000	0.11627907
out_final	1000	26	22	23	5	4	out_final1000	0.2
out_final	1000	26	21	23	2	0	out_final1000	0.045454545
out_final	1000	26	23	23	1	1	out_final1000	0.043478261
out_final	1000	26	23	23	2	2	out_final1000	0.086956522
out_final	1000	26	20	23	11	8	out_final1000	0.441860465
out_final	1000	26	22	23	4	3	out_final1000	0.155555556
Astral	1000	26	23	23	6	6	Astral1000	0.260869565
Astral	1000	26	23	23	23	23	Astral1000	1
Astral	1000	26	23	23	6	6	Astral1000	0.260869565
Astral	1000	26	23	23	1	1	Astral1000	0.043478261
Astral	1000	26	23	23	2	2	Astral1000	0.086956522
Astral	1000	26	23	23	6	6	Astral1000	0.260869565
Astral	1000	26	23	23	2	2	Astral1000	0.086956522
Astral	1000	26	23	23	7	7	Astral1000	0.304347826
Astral	1000	26	23	23	23	23	Astral1000	1
svd	1000	26	23	23	3	3	svd1000	0.130434783
svd	1000	26	23	23	13	13	svd1000	0.565217391
