Method	dataset	nl	ei1	ei2	fp	fn		rf
Astral	1000	26	23	23	3	3	Astral1000	0.130434783
Astral	1000	26	23	23	1	1	Astral1000	0.043478261
Astral	1000	26	23	23	1	1	Astral1000	0.043478261
Astral	1000	26	23	23	2	2	Astral1000	0.086956522
Astral	1000	26	23	23	3	3	Astral1000	0.130434783
svd	1000	26	23	23	8	8	svd1000	0.347826087
svd	1000	26	23	23	4	4	svd1000	0.173913043
svd	1000	26	23	23	6	6	svd1000	0.260869565
svd	1000	26	23	23	2	2	svd1000	0.086956522
svd	1000	26	23	23	9	9	svd1000	0.391304348
out_final	1000	26	20	23	4	1	out_final1000	0.11627907
out_final	1000	26	23	23	1	1	out_final1000	0.043478261
out_final	1000	26	23	23	1	1	out_final1000	0.043478261
out_final	1000	26	23	23	2	2	out_final1000	0.086956522
out_final	1000	26	22	23	4	3	out_final1000	0.155555556
Astral	100	26	23	23	22	22	Astral100	0.956521739
Astral	100	26	23	23	5	5	Astral100	0.217391304
Astral	100	26	23	23	9	9	Astral100	0.391304348
Astral	100	26	23	23	7	7	Astral100	0.304347826
Astral	100	26	23	23	5	5	Astral100	0.217391304
Astral	100	26	23	23	8	8	Astral100	0.347826087
svd	100	26	23	23	11	11	svd100	0.47826087
svd	100	26	23	23	6	6	svd100	0.260869565
svd	100	26	23	23	13	13	svd100	0.565217391
svd	100	26	23	23	9	9	svd100	0.391304348
svd	100	26	23	23	17	17	svd100	0.739130435
out_final	100	26	19	23	6	2	out_final100	0.19047619
out_final	100	26	22	23	9	8	out_final100	0.377777778
out_final	100	26	22	23	7	6	out_final100	0.288888889
out_final	100	25	20	22	5	3	out_final100	0.19047619
out_final	100	26	20	23	13	10	out_final100	0.534883721
