Method	dataset	nl	ei1	ei2	fp	fn		rf
Astral	1000	26	23	23	7	7	Astral1000	0.304347826
Astral	1000	26	23	23	2	2	Astral1000	0.086956522
Astral	1000	26	23	23	5	5	Astral1000	0.217391304
Astral	1000	26	23	23	7	7	Astral1000	0.304347826
Astral	1000	26	23	23	9	9	Astral1000	0.391304348
svd	1000	26	23	23	8	8	svd1000	0.347826087
svd	1000	26	23	23	4	4	svd1000	0.173913043
svd	1000	26	23	23	6	6	svd1000	0.260869565
svd	1000	26	23	23	2	2	svd1000	0.086956522
svd	1000	26	23	23	9	9	svd1000	0.391304348
out_final	1000	26	22	23	8	7	out_final1000	0.333333333
out_final	1000	26	18	23	6	1	out_final1000	0.170731707
out_final	1000	26	22	23	5	4	out_final1000	0.2
out_final	1000	26	21	23	8	6	out_final1000	0.318181818
out_final	1000	26	22	23	7	6	out_final1000	0.288888889
Astral	100	26	23	23	16	16	Astral100	0.695652174
Astral	100	26	23	23	18	18	Astral100	0.782608696
Astral	100	26	23	23	13	13	Astral100	0.565217391
Astral	100	26	23	23	10	10	Astral100	0.434782609
Astral	100	26	23	23	15	15	Astral100	0.652173913
svd	100	26	23	23	11	11	svd100	0.47826087
svd	100	26	23	23	6	6	svd100	0.260869565
svd	100	26	23	23	13	13	svd100	0.565217391
svd	100	26	23	23	9	9	svd100	0.391304348
svd	100	26	23	23	17	17	svd100	0.739130435
out_final	100	26	15	23	17	9	out_final100	0.684210526
out_final	100	26	20	23	18	15	out_final100	0.76744186
out_final	100	26	20	23	13	10	out_final100	0.534883721
out_final	100	25	18	22	14	10	out_final100	0.6
out_final	100	26	17	23	16	10	out_final100	0.65
Astral	500	26	23	23	8	8	Astral500	0.347826087
Astral	500	26	23	23	4	4	Astral500	0.173913043
Astral	500	26	23	23	5	5	Astral500	0.217391304
Astral	500	26	23	23	9	9	Astral500	0.391304348
Astral	500	7	4	4	3	3	Astral500	0.75
svd	500	26	23	23	8	8	svd500	0.347826087
svd	500	26	23	23	5	5	svd500	0.217391304
svd	500	26	23	23	6	6	svd500	0.260869565
svd	500	26	23	23	3	3	svd500	0.130434783
svd	500	26	23	23	11	11	svd500	0.47826087
out_final	500	26	19	23	9	5	out_final500	0.333333333
out_final	500	26	19	23	16	12	out_final500	0.666666667
out_final	500	26	20	23	6	3	out_final500	0.209302326
out_final	500	26	21	23	5	3	out_final500	0.181818182
out_final	500	26	18	23	10	5	out_final500	0.365853659
out_final	500	7	4	4	3	3	out_final500	0.75
Astral	50	26	23	23	16	16	Astral50	0.695652174
Astral	50	26	23	23	17	17	Astral50	0.739130435
Astral	50	5	2	2	2	2	Astral50	1
Astral	50	5	2	2	2	2	Astral50	1
Astral	50	7	4	4	3	3	Astral50	0.75
svd	50	26	23	23	12	12	svd50	0.52173913
svd	50	26	23	23	11	11	svd50	0.47826087
svd	50	26	23	23	14	14	svd50	0.608695652
svd	50	26	23	23	15	15	svd50	0.652173913
svd	50	26	23	23	17	17	svd50	0.739130435
out_final	50	19	13	16	12	9	out_final50	0.724137931
out_final	50	15	9	12	9	6	out_final50	0.714285714
out_final	50	5	2	2	2	2	out_final50	1
out_final	50	5	2	2	2	2	out_final50	1
out_final	50	7	3	4	4	3	out_final50	1
Astral	250	26	23	23	11	11	Astral250	0.47826087
Astral	250	26	23	23	9	9	Astral250	0.391304348
Astral	250	26	23	23	12	12	Astral250	0.52173913
Astral	250	26	23	23	8	8	Astral250	0.347826087
Astral	250	7	4	4	4	4	Astral250	1
svd	250	26	23	23	7	7	svd250	0.304347826
svd	250	26	23	23	6	6	svd250	0.260869565
svd	250	26	23	23	6	6	svd250	0.260869565
svd	250	26	23	23	5	5	svd250	0.217391304
svd	250	26	23	23	11	11	svd250	0.47826087
out_final	250	26	19	23	13	9	out_final250	0.523809524
out_final	250	26	18	23	10	5	out_final250	0.365853659
out_final	250	16	11	13	4	2	out_final250	0.25
out_final	250	26	22	23	9	8	out_final250	0.377777778
out_final	250	7	3	4	4	3	out_final250	1
